#AtomicNumber,Element,Period,Phase,Symbol
1,Hydrogen,1,gas,H
2,Helium,1,gas,He
3,Lithium,2,solid,Li
4,Beryllium,2,solid,Be
5,Boron,2,solid,B
6,Carbon,2,solid,C
7,Nitrogen,2,gas,N
8,Oxygen,2,gas,O
9,Fluorine,2,gas,F
10,Neon,2,gas,Ne
11,Sodium,3,solid,Na
12,Magnesium,3,solid,Mg
13,Aluminum,3,solid,Al
14,Silicon,3,solid,Si
15,Phosphorus,3,solid,P
16,Sulfur,3,solid,S
17,Chlorine,3,gas,Cl
18,Argon,3,gas,Ar
19,Potassium,4,solid,K
20,Calcium,4,solid,Ca
21,Scandium,4,solid,Sc
22,Titanium,4,solid,Ti
23,Vanadium,4,solid,V
24,Chromium,4,solid,Cr
25,Manganese,4,solid,Mn
26,Iron,4,solid,Fe
27,Cobalt,4,solid,Co
28,Nickel,4,solid,Ni
29,Copper,4,solid,Cu
30,Zinc,4,solid,Zn
31,Gallium,4,solid,Ga
32,Germanium,4,solid,Ge
33,Arsenic,4,solid,As
34,Selenium,4,solid,Se
35,Bromine,4,liq,Br
36,Krypton,4,gas,Kr
37,Rubidium,5,solid,Rb
38,Strontium,5,solid,Sr
39,Yttrium,5,solid,Y
40,Zirconium,5,solid,Zr
41,Niobium,5,solid,Nb
42,Molybdenum,5,solid,Mo
43,Technetium,5,artificial,Tc
44,Ruthenium,5,solid,Ru
45,Rhodium,5,solid,Rh
46,Palladium,5,solid,Pd
47,Silver,5,solid,Ag
48,Cadmium,5,solid,Cd
49,Indium,5,solid,In
50,Tin,5,solid,Sn
51,Antimony,5,solid,Sb
52,Tellurium,5,solid,Te
53,Iodine,5,solid,I
54,Xenon,5,gas,Xe
55,Cesium,6,solid,Cs
56,Barium,6,solid,Ba
57,Lanthanum,6,solid,La
58,Cerium,6,solid,Ce
59,Praseodymium,6,solid,Pr
60,Neodymium,6,solid,Nd
61,Promethium,6,artificial,Pm
62,Samarium,6,solid,Sm
63,Europium,6,solid,Eu
64,Gadolinium,6,solid,Gd
65,Terbium,6,solid,Tb
66,Dysprosium,6,solid,Dy
67,Holmium,6,solid,Ho
68,Erbium,6,solid,Er
69,Thulium,6,solid,Tm
70,Ytterbium,6,solid,Yb
71,Lutetium,6,solid,Lu
72,Hafnium,6,solid,Hf
73,Tantalum,6,solid,Ta
74,Wolfram,6,solid,W
75,Rhenium,6,solid,Re
76,Osmium,6,solid,Os
77,Iridium,6,solid,Ir
78,Platinum,6,solid,Pt
79,Gold,6,solid,Au
80,Mercury,6,liq,Hg
81,Thallium,6,solid,Tl
82,Lead,6,solid,Pb
83,Bismuth,6,solid,Bi
84,Polonium,6,solid,Po
85,Astatine,6,solid,At
86,Radon,6,gas,Rn
87,Francium,7,solid,Fr
88,Radium,7,solid,Ra
89,Actinium,7,solid,Ac
90,Thorium,7,solid,Th
91,Protactinium,7,solid,Pa
92,Uranium,7,solid,U
93,Neptunium,7,artificial,Np
94,Plutonium,7,artificial,Pu
95,Americium,7,artificial,Am
96,Curium,7,artificial,Cm
97,Berkelium,7,artificial,Bk
98,Californium,7,artificial,Cf
99,Einsteinium,7,artificial,Es
100,Fermium,7,artificial,Fm
101,Mendelevium,7,artificial,Md
102,Nobelium,7,artificial,No
103,Lawrencium,7,artificial,Lr
104,Rutherfordium,7,artificial,Rf
105,Dubnium,7,artificial,Db
106,Seaborgium,7,artificial,Sg
107,Bohrium,7,artificial,Bh
108,Hassium,7,artificial,Hs
109,Meitnerium,7,artificial,Mt
110,Darmstadtium ,7,artificial,Ds 
111,Roentgenium ,7,artificial,Rg 
112,Copernicium ,7,artificial,Cn 
113,Nihonium,7,artificial,Nh
114,Flerovium,7,artificial,Fl
115,Moscovium,7,artificial,Mc
116,Livermorium,7,artificial,Lv
117,Tennessine,7,artificial,Ts
118,Oganesson,7,artificial,Og
